ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
26301,-0.19228140766140756,2,1,2,33,2,2,0,0,-1,0,60679.0,54947.0,54425.0,48313.0,19399.0,19804.0,0.0,4500.0,1200.0,71941.0,619.0,563.0,1
1948,-0.6487755181179329,1,1,1,33,0,0,0,0,0,0,325445.0,202853.0,57051.0,161651.0,182265.0,0.0,10000.0,15000.0,105000.0,55000.0,0.0,0.0,0
26606,0.29165977340375315,1,2,2,23,3,2,2,7,7,6,2400.0,2400.0,2400.0,2400.0,2400.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4608,-0.24583684470352513,2,1,2,42,-1,-1,-1,-1,-1,2,1310.0,37073.0,7700.0,42038.0,42610.0,42096.0,37073.0,7700.0,42038.0,42096.0,587.0,9162.0,0
21188,0.2958203956174427,1,1,1,35,-1,-1,-1,-1,-1,-1,3888.0,14704.0,2533.0,10664.0,1560.0,34847.0,14782.0,2544.0,10715.0,1566.0,34865.0,7273.0,0
14887,-0.36845229489892917,2,3,1,37,1,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,2533.0,0.0,0.0,0.0,0.0,2533.0,0.0,500.0,0
13460,-0.9194004091480276,2,3,2,39,0,0,0,0,0,0,55241.0,49773.0,81365.0,87341.0,87358.0,103740.0,10000.0,60218.0,10076.0,15012.0,20667.0,15000.0,0
27979,0.21034449730519927,2,1,2,29,-1,-1,-1,-2,-1,-1,3647.0,2530.0,464.0,1316.0,1102.0,3381.0,2535.0,464.0,1316.0,1104.0,3384.0,5200.0,0
29212,-0.2209752632338869,1,2,2,22,0,0,0,0,-1,0,51159.0,51699.0,50584.0,20480.0,9413.0,9712.0,3000.0,2650.0,2100.0,10000.0,600.0,500.0,0
19007,0.5833407795412814,2,2,2,30,-2,-2,-2,-2,-2,-2,2680.0,14770.0,7817.0,416.0,270.0,0.0,14770.0,7832.0,416.0,270.0,0.0,0.0,0
13452,0.005832851319584605,2,1,2,30,-1,-1,-1,-1,-1,-1,6045.0,7151.0,4790.0,3145.0,4274.0,0.0,7157.0,4790.0,3145.0,4274.0,0.0,2215.0,0
7387,0.34367844324896607,2,2,1,33,1,2,0,0,0,0,42932.0,42010.0,46007.0,47978.0,49100.0,50181.0,0.0,5000.0,3000.0,2000.0,2000.0,2000.0,1
2969,-0.3218243511070071,2,2,2,38,0,0,0,0,2,2,86401.0,88991.0,91571.0,94045.0,97965.0,101176.0,3991.0,4071.0,4000.0,5600.0,5000.0,4000.0,0
26888,0.5859402444136469,1,2,1,36,0,0,0,0,0,0,338992.0,339254.0,348485.0,346028.0,338981.0,348032.0,15348.0,20013.0,20018.0,15000.0,20000.0,20000.0,0
5726,0.5148385349268789,2,1,1,37,1,-2,-2,-1,-1,-1,449.0,12487.0,-10.0,3090.0,240.0,2010.0,12611.0,0.0,3100.0,240.0,2010.0,212.0,0
